timestamp_ms,ax_slav,ay_slav,az_slav,gx_slav,gy_slav,gz_slav,angle_x_slav,angle_y_slav,angle_z_slav,flex_slav_0,flex_slav_1,flex_slav_2,flex_slav_3,flex_slav_4,ax,ay,az,gx,gy,gz,angle_x,angle_y,angle_z,flex_0,flex_1,flex_2,flex_3,flex_4,Label
293678,-0.7871,-3.1874,-9.3251,-0.0342,-0.0153,0.0063,-18.7898,-4.9194,160.5298,75.79,98.92,106.14,131.58,94.86,-1.1181,4.1894,-8.6290,-0.1928,0.0863,-0.0810,25.3597,-6.9690,153.5668,183.25,259.51,241.83,92.13,126.23,nothing
293744,-0.7961,-3.1359,-9.3569,-0.0417,0.0035,-0.0079,-18.6276,-4.7654,160.7286,86.52,94.44,101.72,123.11,90.62,-1.1295,4.0451,-8.6410,-0.1810,0.0791,0.0386,25.1306,-6.8606,153.8219,163.49,240.15,214.99,86.52,126.23,nothing
293810,-0.9745,-3.0761,-9.1761,-0.0774,0.0007,-0.0164,-18.5331,-5.2539,160.6839,75.79,89.96,97.30,123.11,94.86,-1.2396,4.1571,-8.6727,-0.0994,0.0515,-0.0341,25.2583,-7.1034,153.6242,133.86,220.79,214.99,97.74,139.25,nothing
293876,-0.8739,-3.0886,-9.3192,-0.0589,-0.0134,0.0247,-18.3971,-5.1701,160.8396,70.43,94.44,106.14,131.58,94.86,-1.1965,4.2361,-8.6326,-0.1288,0.0275,0.0155,25.5909,-7.0984,153.3031,163.49,259.51,241.83,97.74,130.57,nothing
293942,-0.8619,-2.9037,-9.4101,-0.0376,0.0241,0.0390,-17.7373,-5.0862,161.5009,91.88,103.40,101.72,127.34,90.62,-1.2139,4.1631,-8.6877,-0.1204,0.0620,-0.0380,25.4894,-7.1402,153.3888,163.49,249.83,228.41,86.52,121.89,nothing
294008,-0.7548,-3.4226,-9.0785,-0.1918,-0.1067,-0.0559,-19.1556,-4.7708,160.2139,81.15,94.44,97.30,118.87,90.62,-1.2163,4.1702,-8.6907,-0.1234,0.0947,-0.0189,25.4537,-7.1659,153.4154,153.62,230.47,214.99,92.13,134.91,nothing
294074,-0.9320,-3.2257,-9.4143,-0.0886,0.0304,-0.0866,-18.9903,-5.0635,160.2958,70.43,94.44,106.14,127.34,94.86,-1.1864,4.1601,-8.6242,-0.2725,0.1227,-0.0458,25.4976,-7.1146,153.3886,153.62,259.51,255.25,97.74,130.57,nothing
294140,-0.8673,-3.0515,-9.3036,0.0015,0.0123,-0.0748,-18.5395,-5.0630,160.7325,81.15,103.40,106.14,144.29,90.62,-1.1840,4.0900,-8.6206,-0.2226,0.0759,0.0199,25.3369,-7.0941,153.5508,183.25,269.19,228.41,92.13,121.89,nothing
294206,-0.8727,-3.2700,-9.5442,-0.0273,-0.1142,-0.0968,-18.6914,-5.0027,160.6023,81.15,94.44,101.72,123.11,90.62,-1.1840,4.1158,-8.6368,-0.1663,0.0879,0.0339,25.3050,-7.0743,153.5878,163.49,240.15,201.58,86.52,130.57,nothing
294272,-0.8536,-3.1192,-9.3449,-0.0766,0.0087,-0.1541,-18.5398,-4.9774,160.7562,70.43,89.96,101.72,131.58,94.86,-1.1463,4.1864,-8.6649,-0.1260,0.0540,-0.0619,25.4495,-6.9332,153.4904,143.74,240.15,241.83,103.35,134.91,nothing
