timestamp_ms,motion_detected,roll_deg,pitch_deg,yaw_deg,filtered_accel_x_(m/s²),filtered_accel_y_(m/s²),filtered_accel_z_(m/s²),filtered_gyro_x_(deg/s),filtered_gyro_y_(deg/s),filtered_gyro_z_(deg/s),accel_magnitude,gyro_magnitude,adc0,adc1,adc2,adc3,adc4,Label
2849,0,4.82,15.8,0.92,-2.8899,0.8922,10.1736,-0.913,0.503,0.2555,832.7524,929.5134,912.6391,675.155,841.7115,notthing
2875,0,4.84,15.83,0.92,-2.895,0.8948,10.1725,-0.7057,0.6355,-0.175,832.7524,929.5134,912.6391,675.155,841.7115,notthing
2901,0,4.88,15.81,0.91,-2.8931,0.9043,10.178,-0.4238,0.5547,-0.4077,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
2927,0,4.91,15.77,0.89,-2.8866,0.9088,10.1822,0.0002,0.5742,-0.5046,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
2953,0,4.87,15.78,0.89,-2.8882,0.9024,10.1822,-0.0244,0.2824,-0.2231,845.3864,929.5134,912.6391,675.155,841.7115,notthing
2979,0,4.87,15.8,0.88,-2.8927,0.9009,10.1802,0.2644,-0.0506,-0.0729,832.7524,929.5134,912.6391,675.155,852.2852,notthing
3005,0,4.88,15.81,0.89,-2.8946,0.9043,10.1818,0.1805,-0.1268,0.1451,845.3864,929.5134,912.6391,691.3133,841.7115,notthing
3031,0,4.87,15.84,0.91,-2.9002,0.9021,10.1813,0.0425,-0.2313,0.7054,832.7524,934.7587,912.6391,675.155,841.7115,notthing
3057,0,4.89,15.83,0.93,-2.899,0.9061,10.1823,-0.0082,-0.3051,0.9799,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3083,0,4.94,15.78,0.96,-2.8897,0.915,10.1842,0.3867,-0.4575,1.1724,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
3109,0,4.87,15.83,1,-2.8972,0.901,10.1799,0.3719,-0.5774,1.3799,832.7524,929.5134,912.6391,675.155,841.7115,notthing
3135,0,4.88,15.84,1.03,-2.8999,0.9032,10.1827,0.3554,-0.6369,1.2448,832.7524,929.5134,912.6391,675.155,841.7115,notthing
3161,0,4.92,15.81,1.06,-2.8961,0.9119,10.1864,0.2687,-0.5341,0.9686,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
3187,0,4.93,15.81,1.08,-2.8946,0.913,10.1838,0.3844,-0.3198,0.7949,845.3864,934.7587,912.6391,675.155,841.7115,notthing
3213,0,4.9,15.83,1.09,-2.898,0.9073,10.1819,0.3182,-0.0754,0.5731,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3239,0,4.89,15.83,1.11,-2.8979,0.9051,10.1824,0.3508,0.029,0.5187,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3265,0,4.95,15.78,1.12,-2.8902,0.9162,10.1855,0.3583,0.087,0.7291,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
3291,0,4.93,15.78,1.14,-2.8891,0.9136,10.1853,0.362,-0.0061,0.7888,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3317,0,4.92,15.8,1.16,-2.894,0.9109,10.184,0.3308,0.0492,0.5753,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3343,0,4.95,15.81,1.17,-2.8948,0.9165,10.1792,0.4903,0.0645,0.5488,845.3864,929.5134,912.6391,691.3133,852.2852,notthing
3369,0,4.93,15.82,1.19,-2.8946,0.9131,10.174,0.562,-0.0248,0.5781,845.3864,934.7587,912.6391,691.3133,841.7115,notthing
3395,0,4.91,15.82,1.2,-2.8947,0.9086,10.1762,0.5624,0.0886,0.4201,845.3864,929.5134,912.6391,675.155,841.7115,notthing
3421,0,4.95,15.79,1.21,-2.8907,0.9158,10.1792,0.4847,0.175,0.4794,832.7524,929.5134,912.6391,691.3133,841.7115,notthing
3447,0,4.97,15.79,1.22,-2.8902,0.9199,10.1804,0.5038,0.2028,0.4172,845.3864,934.7587,912.6391,675.155,841.7115,notthing
3473,0,4.94,15.79,1.23,-2.8904,0.9149,10.1829,0.5804,0.3122,0.2518,845.3864,934.7587,912.6391,675.155,841.7115,notthing
