timestamp_ms,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,yaw,adc0,adc1,adc2,adc3,adc4,Label
498816,-0.1974,0.0748,-0.0341,0.3484,1.1942,-9.7609,1.8653,7.0284,172.7259,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
498932,-0.1690,0.0739,0.0281,0.2993,1.2169,-9.7262,1.8536,7.0384,172.7193,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499048,-0.1847,0.0729,0.0143,0.2897,1.2313,-9.7561,1.8370,7.0535,172.7088,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499164,-0.2064,0.0896,0.0210,0.3382,1.1816,-9.7310,1.8509,7.0401,172.7183,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499280,-0.2089,0.0523,0.0270,0.1868,1.2402,-9.7400,1.7748,7.0617,172.7165,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499396,-0.1969,0.0686,-0.0174,0.3711,1.1942,-9.7256,1.8141,7.0550,172.7132,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499512,-0.2022,0.0620,-0.0326,0.2939,1.2714,-9.7328,1.8042,7.0934,172.6784,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499628,-0.2237,0.0911,-0.0072,0.3113,1.2001,-9.7058,1.8061,7.0886,172.6826,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499744,-0.2078,0.0701,0.0161,0.2909,1.2558,-9.7543,1.7949,7.1131,172.6617,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499860,-0.1685,0.0525,0.0323,0.2287,0.8182,-9.7011,1.7504,6.8855,172.8934,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
499976,0.2541,0.0072,0.0026,0.5950,1.0517,-9.6873,1.9240,6.8160,172.9152,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500092,-0.2598,0.0934,0.0117,0.3286,1.5832,-9.7292,1.9227,7.0594,172.6809,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500208,-0.3816,0.1040,0.0245,0.3035,1.2408,-9.7418,1.9074,7.0790,172.6660,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500324,-0.2547,0.0748,-0.0472,0.3280,1.1086,-9.7639,1.9079,7.0184,172.7244,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500440,-0.1716,0.0496,0.0648,0.2843,1.1618,-9.7477,1.8830,6.9960,172.7526,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500556,-0.1894,0.0669,-0.0934,0.3651,1.1732,-9.7382,1.9079,6.9828,172.7587,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500672,-0.1797,0.0511,0.0840,0.3208,1.2241,-9.7034,1.9050,7.0031,172.7399,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500788,-0.2311,0.0671,0.0511,0.3143,1.1971,-9.7412,1.8979,7.0031,172.7419,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
500904,-0.1860,0.0397,-0.0116,0.2694,1.2696,-9.7136,1.8656,7.0471,172.7077,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501020,-0.2045,0.0924,0.0229,0.3633,1.1876,-9.7190,1.8915,7.0385,172.7092,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501136,-0.1868,0.0639,-0.0376,0.2981,1.2420,-9.7531,1.8760,7.0601,172.6924,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501252,-0.2162,0.0793,-0.0014,0.3262,1.2121,-9.7268,1.8790,7.0641,172.6878,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501368,-0.1949,0.0461,-0.0364,0.3268,1.2169,-9.7789,1.8811,7.0666,172.6848,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501484,-0.1716,0.0635,0.0162,0.2993,1.2133,-9.7226,1.8679,7.0710,172.6840,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501600,-0.1804,0.0646,0.0226,0.3621,1.2432,-9.7537,1.8921,7.0898,172.6595,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501716,-0.2476,0.0686,0.0179,0.3609,1.2217,-9.7184,1.9139,7.0968,172.6470,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
501832,-0.4846,0.0772,0.0477,0.1748,1.1570,-9.9513,1.8208,7.0495,172.7169,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
501948,-0.0398,0.0213,-0.0164,0.2712,1.0649,-9.6621,1.7987,6.9740,172.7956,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502064,-0.0371,0.0892,-0.0728,0.2388,1.1576,-9.7406,1.7584,6.9542,172.8248,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502180,-0.1021,0.0416,0.0258,0.3645,1.2408,-9.7310,1.7953,6.9849,172.7858,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502296,-0.1501,0.0470,0.0882,0.3741,1.2642,-9.7394,1.8340,7.0255,172.7367,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502412,-0.2044,0.0952,-0.0923,0.3148,1.2726,-9.7298,1.8344,7.0677,172.6958,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502528,-0.1785,0.0836,-0.0853,0.3220,1.1086,-9.7088,1.8397,7.0122,172.7482,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502644,-0.1037,-0.0706,-0.0575,0.0880,0.9499,-9.9740,1.7036,6.8523,172.9371,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502760,-0.1761,0.0251,-0.0465,0.3184,1.4048,-9.6089,1.7209,6.9968,172.7926,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502876,-0.2369,0.1037,0.0485,0.2819,1.3420,-9.7310,1.7132,7.0820,172.7117,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
502992,-0.2751,0.0877,0.0643,0.2909,1.2785,-9.7316,1.7117,7.1219,172.6732,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503108,-0.2511,0.0768,0.0125,0.3041,1.2067,-9.7705,1.7174,7.1134,172.6801,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503224,-0.2395,0.0687,-0.0045,0.2753,1.1750,-9.7585,1.7062,7.0884,172.7071,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503340,-0.2086,0.0552,0.0023,0.2903,1.1295,-9.7681,1.7047,7.0388,172.7557,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503456,-0.1877,0.0699,0.0363,0.3154,1.1995,-9.7723,1.7177,7.0344,172.7569,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503572,-0.2297,0.0753,0.0684,0.3322,1.2091,-9.7256,1.7400,7.0392,172.7468,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503688,-0.2079,0.0785,-0.0176,0.3825,1.2019,-9.7465,1.7891,7.0378,172.7362,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503804,-0.1755,0.0748,0.0154,0.3148,1.1965,-9.7202,1.7943,7.0354,172.7371,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
503920,-0.1824,0.0574,0.0312,0.2891,1.2468,-9.7298,1.7837,7.0618,172.7142,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504036,-0.2166,0.0579,0.0217,0.3172,1.2349,-9.7118,1.7909,7.0798,172.6950,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504152,-0.1969,0.0581,0.0015,0.3154,1.2133,-9.7172,1.7963,7.0831,172.6904,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504268,-0.1883,0.1012,0.0010,0.3298,1.2103,-9.7400,1.8091,7.0828,172.6875,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504384,-0.1778,0.0578,0.0434,0.3400,1.2097,-9.7388,1.8266,7.0822,172.6837,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504500,-0.2068,0.0545,-0.0368,0.3322,1.2187,-9.7166,1.8383,7.0884,172.6747,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504616,-0.2172,0.0825,0.0210,0.3125,1.1732,-9.7382,1.8369,7.0662,172.6966,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504732,-0.1790,0.0652,0.0237,0.3382,1.1822,-9.7017,1.8513,7.0539,172.7048,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
504848,-0.1909,0.0491,-0.0278,0.2718,1.2432,-9.7447,1.8246,7.0753,172.6908,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
504964,-0.1988,0.0754,0.0079,0.3645,1.1983,-9.7412,1.8549,7.0686,172.6896,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
505080,-0.1591,0.0383,-0.0281,0.2783,1.0014,-9.6029,1.8348,6.9585,172.8014,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
505196,0.1392,0.0091,0.0050,0.4256,0.9775,-9.8208,1.8988,6.8296,172.9089,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505312,-0.2612,0.0432,0.0134,0.2287,1.5748,-9.6831,1.8425,7.0703,172.6912,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505428,-0.3412,0.1309,0.0134,0.4573,1.2690,-9.7340,1.9252,7.1053,172.6359,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505544,-0.2402,0.0627,0.0552,0.2777,1.1337,-9.7471,1.8948,7.0579,172.6897,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505660,-0.1735,0.0390,0.0311,0.2759,1.0960,-9.7771,1.8659,6.9913,172.7616,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505776,-0.1485,0.0769,-0.0130,0.3071,1.2289,-9.7406,1.8584,7.0109,172.7446,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
505892,-0.1523,0.0399,-0.0018,0.3388,1.2343,-9.7328,1.8704,7.0321,172.7210,0.0000,0.0000,0.0000,0.0000,0.0000,หนึ่ง
506008,-0.0686,-0.0560,0.0045,0.4669,1.1265,-9.8256,1.9543,6.9819,172.7471,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506124,-0.2773,0.0100,0.0249,0.3801,1.4988,-9.7777,1.9792,7.1557,172.5728,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506240,-0.3185,0.1039,-0.0030,0.2831,1.2061,-9.6765,1.9478,7.1504,172.5864,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506356,-0.2394,0.0896,-0.0290,0.2783,1.1630,-9.7705,1.9150,7.1139,172.6303,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506472,-0.2263,0.0798,0.0019,0.3190,1.1582,-9.7370,1.9098,7.0805,172.6639,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506588,-0.1966,0.0641,0.0090,0.3286,1.1858,-9.7346,1.9108,7.0666,172.6771,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506704,-0.1973,0.0630,-0.0635,0.3137,1.1953,-9.7639,1.9023,7.0575,172.6881,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506820,-0.1791,0.0908,0.0270,0.3597,1.1918,-9.7232,1.9223,7.0501,172.6899,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
506936,-0.1866,0.0607,0.0184,0.3071,1.2301,-9.7465,1.9091,7.0640,172.6800,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507052,-0.1975,0.0683,-0.0169,0.3484,1.1906,-9.7376,1.9216,7.0543,172.6861,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507168,-0.2192,0.0472,0.0215,0.3220,1.2420,-9.7501,1.9171,7.0744,172.6678,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507284,-0.2052,0.0568,0.0480,0.3436,1.2169,-9.7178,1.9263,7.0803,172.6597,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507400,-0.1989,0.0560,-0.0089,0.3029,1.2319,-9.7238,1.9107,7.0939,172.6507,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507516,-0.2057,0.0664,0.0318,0.3005,1.2127,-9.7537,1.8947,7.0929,172.6559,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507632,-0.2266,0.0523,-0.0233,0.3089,1.1983,-9.7298,1.8857,7.0854,172.6655,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507748,-0.1898,0.0650,0.0153,0.3262,1.2037,-9.7064,1.8881,7.0834,172.6667,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507864,-0.1663,0.0369,-0.0522,0.3286,1.2127,-9.7310,1.8913,7.0851,172.6644,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
507980,-0.2270,0.0708,-0.0067,0.3154,1.2337,-9.7681,1.8856,7.0960,172.6552,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508096,-0.2139,0.0785,-0.0101,0.3394,1.1720,-9.7100,1.8958,7.0743,172.6736,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508212,-0.2177,0.0470,0.0206,0.2364,1.2301,-9.7573,1.8438,7.0852,172.6764,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508328,-0.2095,0.0618,0.0123,0.3400,1.2187,-9.7436,1.8577,7.0892,172.6690,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508444,-0.2076,0.0590,-0.0016,0.3466,1.2366,-9.7238,1.8744,7.1046,172.6498,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508560,-0.2162,0.0658,0.0206,0.3298,1.2265,-9.7430,1.8794,7.1112,172.6421,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508676,-0.1913,0.0728,0.0236,0.3202,1.2025,-9.7627,1.8779,7.1019,172.6515,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508792,-0.1985,0.0698,0.0353,0.1694,1.2049,-9.7214,1.7894,7.0983,172.6774,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
508908,-0.1787,0.0669,0.0264,0.3418,1.2127,-9.7394,1.8099,7.0978,172.6728,0.0000,0.0000,0.0000,0.0000,0.0000,break_time
509024,-0.2053,0.0785,0.0213,0.2484,1.2666,-9.7250,1.7740,7.1298,172.6506,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509140,-0.2128,0.0639,0.0018,0.3669,1.1654,-9.7430,1.8108,7.0985,172.6719,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509256,-0.1881,0.0832,0.0091,0.3154,1.2325,-9.7489,1.8136,7.1088,172.6612,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509372,-0.2030,0.0716,-0.0376,0.2873,1.2217,-9.7394,1.7999,7.1125,172.6610,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509488,-0.2101,0.0743,0.0191,0.2999,1.2115,-9.7543,1.7946,7.1090,172.6657,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509604,-0.1858,0.0811,0.0142,0.4190,1.2127,-9.7447,1.8595,7.1068,172.6515,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509720,-0.2161,0.0675,-0.0042,0.2448,1.2103,-9.7872,1.8156,7.1009,172.6684,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509836,-0.2048,0.0590,0.0270,0.3484,1.1481,-9.7633,1.8370,7.0610,172.7016,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
509952,-0.1860,0.0578,-0.0029,0.3095,1.2361,-9.7627,1.8334,7.0761,172.6878,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510068,-0.1633,0.0796,-0.0206,0.3472,1.1672,-9.7202,1.8531,7.0529,172.7053,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510184,-0.1922,0.0346,0.0277,0.3556,1.2361,-9.7585,1.8749,7.0691,172.6841,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510300,-0.2307,0.0807,0.0029,0.3412,1.2091,-9.7627,1.8860,7.0677,172.6824,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510416,-0.2368,0.0762,0.0076,0.3382,1.1989,-9.7663,1.8943,7.0604,172.6874,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510532,-0.2229,0.0229,0.0301,0.2712,1.2726,-9.7639,1.8626,7.0967,172.6605,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510648,-0.2023,0.0656,-0.0072,0.4088,1.2229,-9.7034,1.9155,7.1047,172.6390,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510764,-0.2138,0.0596,-0.0338,0.2861,1.2241,-9.7591,1.8905,7.1089,172.6415,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510880,-0.2222,0.0796,0.0110,0.3166,1.2091,-9.7334,1.8864,7.1057,172.6456,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
510996,-0.1926,0.0454,0.0350,0.2616,1.2265,-9.7651,1.8499,7.1108,172.6501,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
