timestamp_ms,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,yaw,adc0,adc1,adc2,adc3,adc4,Label
30011301,-0.3239,0.0913,-0.0151,0.2544,1.0726,-9.7489,1.8901,7.2669,172.4888,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011417,-0.1247,0.0723,0.0577,0.2801,1.0325,-9.7813,1.8642,7.1421,172.6161,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011533,-0.1175,0.0473,-0.0553,0.2789,1.2229,-9.6975,1.8413,7.1463,172.6179,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011649,-0.1703,0.0526,-0.0007,0.3448,1.2791,-9.6873,1.8592,7.1833,172.5775,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011765,-0.2120,0.0543,0.0005,0.3687,1.2690,-9.7160,1.8888,7.2086,172.5455,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011881,-0.2179,0.0848,-0.0011,0.2879,1.1930,-9.7244,1.8682,7.1868,172.5718,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30011997,-0.1954,0.0693,0.0046,0.3041,1.1439,-9.7190,1.8594,7.1391,172.6203,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012113,-0.1787,0.0773,-0.0108,0.2478,1.2582,-9.7262,1.8182,7.1621,172.6084,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012229,-0.2424,0.0732,0.0123,0.2514,1.2247,-9.6867,1.7839,7.1662,172.6128,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012345,-0.2147,0.0787,-0.0154,0.3735,1.2055,-9.7262,1.8238,7.1556,172.6132,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012461,-0.2214,0.0634,-0.0213,0.3316,1.2528,-9.7358,1.8350,7.1730,172.5937,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012577,-0.1774,0.0909,-0.0174,0.1598,1.0840,-9.7184,1.7453,7.0923,172.6940,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012693,-0.1986,0.0776,0.0008,0.3969,1.2073,-9.7256,1.8027,7.0901,172.6820,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012809,-0.1890,0.0616,0.0676,0.3017,1.2043,-9.7316,1.7986,7.0863,172.6868,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30012925,-0.2140,0.0843,-0.0267,0.2664,1.2205,-9.7202,1.7745,7.0930,172.6861,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30013041,-0.2268,0.0755,-0.0052,0.2843,1.2450,-9.7597,1.7626,7.1105,172.6721,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30013157,-0.2233,0.0991,-0.0290,0.3101,1.1552,-9.6927,1.7682,7.0789,172.7014,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
30013273,-0.1815,0.0435,-0.0064,0.3735,1.1271,-9.7346,1.8097,7.0310,172.7376,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
